a52dec 0.7.4-8
mesa-demos 8.2.0-5
mesa-libgl 11.0.2-1
mime-types 9-1
mirage 0.9.5.2-3
mjpegtools 2.1.0-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mkinitcpio-nfs-utils 0.3-5
mobile-broadband-provider-info 20120614-2
mono 4.0.4.1-1
mozilla-common 1.4-4
mpfr 3.1.3.p4-1
mpg123 1.22.3-1
mtdev 1.1.5-1
mtr 0.86-2
mupdf 1.7_a-2
musicbrainz 2.1.5-6
nano 2.4.2-2
nbd 3.11-1
ncdu 1.11-2
ncurses 6.0-3
neon 0.30.1-1
net-snmp 5.7.3-2
net-tools 1.60.20130531git-1
netctl 1.11-1
nettle 3.1.1-1
network-manager-applet 1.0.6-1
networkmanager 1.0.6-2
networkmanager-openvpn 1.0.6-2
nm-connection-editor 1.0.6-1
nmap 6.47-3
npth 1.2-1
nspr 4.10.9-1
nss 3.20-1
ntfs-3g-fuse 2015.3.14-1
obconf 2.0.4-3
obmenu-generator 0.59-1
ocl-icd 2.2.7-1
openal 1.16.0-1
openbox 3.6.1-1
openbox-themes 1.0.2-3
openbsd-netcat 1.105_7-7
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openresolv 3.7.1-1
openssh 7.1p1-1
openssl 1.0.2.d-1
openvpn 2.3.8-1
opus 1.1-1
orbit2 2.14.19-3
orc 0.4.24-1
os-prober 1.66-1
owncloud-client 2.0.1-2
p11-kit 0.23.1-3
p7zip 9.38.1-3
pa-applet-git 17.33b413b-1
package-query 1.6.2-1
packagekit 1.0.10-1
pacman 4.2.1-4
pacman-mirrorlist 20151002-1
pam 1.2.1-1
pambase 20130928-1
pango 1.38.0-1
pango-perl 1.226-2
pangomm 2.38.1-1
partclone 0.2.80-2
parted 3.2-3
partimage 0.6.9-7
patch 2.7.5-1
pavucontrol 3.0-1
pbzip2 1.1.12-1
pciutils 3.3.1-1
pcmanfm 1.2.3-1
pcmciautils 018-7
pcre 8.37-4
pcsclite 1.8.13-1
perl 5.22.0-1
perl-bit-vector 7.4-2
perl-carp-clan 6.04-3
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-common-sense 3.74-1
perl-data-dump 1.22-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-6
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-copy-recursive 0.38-1
perl-file-listing 6.04-2
perl-file-slurp-tiny 0.004-1
perl-file-which 1.18-1
perl-gd 2.56-3
perl-gnome2-wnck 0.16-10
perl-goo-canvas 0.06-5
perl-gtk2-imageview 0.05-5
perl-gtk2-unique 0.05-11
perl-html-form 6.03-2
perl-html-parser 3.71-4
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-1
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.44-2
perl-image-exiftool 10.00-1
perl-io-socket-ssl 2.010-1
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-json-xs 3.01-4
perl-libwww 6.08-1
perl-linux-desktopfiles 0.08-1
perl-locale-gettext 1.05-12
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-1
perl-mouse 2.4.2-2
perl-mozilla-ca 20150826-1
perl-net-dbus 1.1.0-2
perl-net-dropbox-api 1.9-3
perl-net-http 6.09-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.72-2
perl-path-class 0.35-1
perl-proc-processtable 0.53-1
perl-proc-simple 1.31-3
perl-sort-naturally 1.03-1
perl-sub-uplevel 0.25-1
perl-test-warn 0.30-1
perl-text-iconv 1.7-10
perl-tree-dag-node 1.23-1
perl-types-serialiser 1.0-1
perl-uri 1.69-1
perl-www-mechanize 1.74-1
perl-www-robotrules 6.02-2
perl-x11-protocol 0.56-6
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-2
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-3
perl-xml-simple 2.20-3
perl-xml-twig 3.49-1
perl-yaml-tiny 1.69-1
pidgin 2.10.11-5
pigz 2.3.3-1
pinentry 0.9.5-2
pixman 0.32.8-1
pixz 1.0.4-1
pkg-config 0.29-1
pkgfile 15-1
podofo 0.9.3-1
polkit 0.113-2
poppler 0.36.0-1
poppler-glib 0.36.0-1
popt 1.16-7
portaudio 19_20140130-1
potrace 1.12-1
ppp 2.4.7-2
prebootloader 20130206-2
procps-ng 3.3.11-2
progsreiserfs 0.3.0.5-8
protobuf 2.6.1-1
protobuf-c 1.1.1-1
psmisc 22.21-3
pth 2.0.7-5
pulseaudio 7.0-2
pulseaudio-alsa 2-3
putty 0.65-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt5-common 5.5-2
python 3.5.0-2
python-dbus-common 1.2.0-5
python-xdg 0.25-3
python2 2.7.10-2
python2-apsw 3.8.11.1-2
python2-cairo 1.10.0-2
python2-chardet 2.3.0-2
python2-cherrypy 3.6.0-2
python2-cssselect 0.9.1-3
python2-cssutils 1.0-3
python2-dateutil 2.4.2-2
python2-dbus 1.2.0-5
python2-dnspython 1.12.0-1
python2-gobject2 2.28.6-12
python2-html5lib 0.9999999-2
python2-lxml 3.4.4-2
python2-mechanize 0.2.5-4
python2-netifaces 0.10.4-1
python2-packaging 15.3-2
python2-pillow 3.0.0-1
python2-psutil 3.2.1-2
python2-pygments 2.0.2-3
python2-pyqt5 5.5-2
python2-setuptools 1:18.3.2-1
python2-sip 4.16.9-2
python2-six 1.9.0-2
qt4 4.8.7-2
qt5-base 5.5.0-2
qt5-connectivity 5.5.0-2
qt5-declarative 5.5.0-2
qt5-enginio 5.5.0-2
qt5-graphicaleffects 5.5.0-2
qt5-imageformats 5.5.0-2
qt5-location 5.5.0-2
qt5-multimedia 5.5.0-2
qt5-quick1 5.5.0-2
qt5-quickcontrols 5.5.0-2
qt5-script 5.5.0-2
qt5-sensors 5.5.0-2
qt5-serialport 5.5.0-2
qt5-svg 5.5.0-2
qt5-tools 5.5.0-2
qt5-translations 5.5.0-2
qt5-wayland 5.5.0-2
qt5-webchannel 5.5.0-2
qt5-webengine 5.5.0-2
qt5-webkit 5.5.0-2
qt5-websockets 5.5.0-2
qt5-x11extras 5.5.0-2
qt5-xmlpatterns 5.5.0-2
qtchooser 52-1
qtkeychain-qt4 0.5-1
qtkeychain-qt5 0.5-1
qtwebkit 2.3.4-2
randrproto 1.5.0-1
raptor 2.0.15-2
rasqal 1:0.9.33-1
rdesktop 1.8.3-1
readline 6.3.008-3
recode 3.6-8
recordproto 1.14.2-2
redland 1:1.0.17-2
refind-efi 0.9.2-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
rfkill 0.5-1
rsync 3.1.1-4
rtkit 0.11-5
rtmpdump 20140918-2
rxvt-unicode 9.21-3
rxvt-unicode-terminfo 9.21-3
s-nail 14.8.5-1
samba 4.3.0-2
sane 1.0.24-4
sbc 1.3-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-3
shadow 4.2.1-3
shared-mime-info 1.4-1
shutter 0.93.1-1
simple-scan 3.18.0-1
sip 4.16.9-2
slack-chat 1.2.2-2
slang 2.3.0-1
slock 1.2-1
smbclient 4.3.0-2
snappy 1.1.3-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.0-1
spandsp 0.0.6-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.8.11.1-3
squashfs-tools 4.3-4
sshfs 2.5-1
startup-notification 0.12-4
sudo 1.8.14.p3-2
suitesparse 4.4.4-1
swt 4.4.2-1
sysfsutils 2.1.0-9
syslinux 6.03-3
systemd 226-3
systemd-sysvcompat 226-3
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.3-1
tar 1.28-1
tcl 8.6.4-1
tcpdump 4.7.4-1
tdb 1.3.7-1
tevent 0.9.25-1
texinfo 5.2-4
texlive-bin 2015.37497-3
texlive-core 2015.37554-1
tftp-hpa 5.2-5
thin-provisioning-tools 0.4.1-1
tigervnc 1.5.0-1
tint2 0.12.2-1
tmux 2.0-4
tor-browser-en 5.0.3-1
transmission-remote-gui-gtk2 5.0.1-2
ttf-bitstream-vera 1.10-10
ttf-freefont 20120503-4
tumbler 0.1.31-1
tzdata 2015g-1
udevil 0.4.4-1
udisks2 2.1.6-1
unrar 1:5.3.4-1
unzip 6.0-10
usb_modeswitch 2.2.5-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.27-5
v4l-utils 1.6.3-1
veracrypt 1.0f_1-1
vi 1:070224-2
videoproto 2.3.2-1
virtualbox 5.0.6-1
virtualbox-guest-modules 5.0.6-1
virtualbox-guest-utils 5.0.6-1
virtualbox-host-modules 5.0.6-1
vlc 2.2.1-7
volumeicon 0.5.1-1
vte 0.28.2-7
vte-common 0.42.0-1
wavpack 4.75.0-1
wayland 1.9.0-1
webkitgtk2 2.4.9-1
webrtc-audio-processing 0.1-2
wget 1.16.3-1
which 2.21-1
wildmidi 0.3.8-1
wine 1.7.52-1
wine-mono 4.5.6-1
wine_gecko 2.40-1
winetricks 20150826-1
wireless_tools 30.pre9-1
wireshark-cli 1.12.7-1
wireshark-gtk 1.12.7-1
wpa_supplicant 1:2.3-1
wvdial 1.61-5
